Date,y,lgb_pred
2022-01-01,2932155.47,2003651.0284195037
2022-01-02,2361965.0,1369897.623564843
2022-01-03,545563.72,1365893.2639626989
2022-01-04,1242319.38,1329009.9207781304
2022-01-05,809977.6,1214527.4807049795
2022-01-06,993048.62,1208966.098533528
2022-01-07,1294963.64,1224241.5668111423
2022-01-08,1641747.05,1256138.6484442155
2022-01-09,1706485.37,1442194.5166665097
2022-01-10,2569113.21,1673858.2661024001
2022-01-11,1640806.35,1770761.6111140917
2022-01-12,1775526.5,1523208.199910821
2022-01-13,1173172.99,1424324.8087792771
2022-01-14,1548726.82,1497434.5436647169
2022-01-15,1461990.71,1524408.1947989066
2022-01-16,2064339.13,1650272.1948526653
2022-01-17,1621773.2,1871907.9360921355
2022-01-18,1861205.18,1963129.7876544367
2022-01-19,2020862.53,1883167.2152922284
2022-01-20,1249233.56,1744180.2704665319
2022-01-21,1580948.85,1835341.9771558535
2022-01-22,1758593.8,1862946.3260110323
2022-01-23,1785338.17,1937423.4626640044
2022-01-24,1915906.28,2223287.8726766966
2022-01-25,2471179.3,2080444.1790245306
2022-01-26,2278973.82,2242230.9116526316
2022-01-27,1604489.99,2191802.817923388
2022-01-28,2792317.48,2644431.6890943605
2022-01-29,3897632.5,2676803.6756991153
2022-01-30,3903300.55,2744676.901258847
2022-01-31,3159829.55,2765539.4028681004
2022-02-01,3672475.88,2297777.295496532
2022-02-02,3072419.17,1627692.4682882652
2022-02-03,1056919.3,1484944.1830033034
2022-02-04,1135262.35,1732651.3984655507
2022-02-05,1325806.77,1875167.497461325
2022-02-06,1360544.32,1854043.3690414354
2022-02-07,1777072.87,1980796.0640209743
2022-02-08,2324022.32,1867219.178089848
2022-02-09,2087968.13,1936759.910181832
2022-02-10,1681958.09,1921079.4382803794
2022-02-11,1868277.55,2157699.210372248
2022-02-12,2483675.48,2192641.2623565923
2022-02-13,2471088.82,2456646.4652364734
2022-02-14,2477651.08,2538646.019564045
2022-02-15,2911470.49,2524232.647665215
2022-02-16,3189077.73,2350787.7972344607
2022-02-17,2365001.98,2247484.5883086803
2022-02-18,2218074.92,2331747.912409717
2022-02-19,2497284.24,2459194.5548003656
2022-02-20,3274514.0,2670490.5895080017
2022-02-21,3231879.49,2707958.678048974
2022-02-22,3646117.64,2677410.7334485147
2022-02-23,3297595.34,3457683.231330539
2022-02-24,2768850.97,2938993.2192516755
2022-02-25,2943786.98,3749535.869063331
2022-02-26,6304749.98,3480212.6588862715
2022-02-27,5652340.75,3370422.54073105
2022-02-28,6007208.86,3276177.923689536
2022-03-01,4532724.33,2858588.201363736
2022-03-02,5221766.09,2982556.4389988543
2022-03-03,1113577.08,3140071.4255557517
2022-03-04,1265611.41,1319542.0594997653
2022-03-05,1917604.21,1504915.396691389
2022-03-06,2406752.08,2130741.6385289975
2022-03-07,3077438.94,2204857.4169046744
2022-03-08,3777839.97,2264703.365332192
2022-03-09,4138590.91,2842728.4587669643
2022-03-10,3544992.79,3330745.5352927255
2022-03-11,3499825.21,3114359.0246026367
2022-03-12,3731020.06,3260258.782197206
2022-03-13,4026635.22,3006647.9404639006
2022-03-14,4709281.9,3341728.7310556876
2022-03-15,4619237.89,3559718.5873601213
2022-03-16,4519934.96,4300349.218836975
2022-03-17,5222281.22,4560418.625901561
2022-03-18,4426435.98,3900595.251245005
2022-03-19,4313906.61,3201839.6204022276
2022-03-20,4198964.15,3286431.8665801063
2022-03-21,4036051.82,3593483.494778344
2022-03-22,4626820.15,3611964.322610699
2022-03-23,5301842.45,4632377.2680057725
2022-03-24,5052034.89,4569340.947945995
2022-03-25,4122489.22,4437697.2037394
2022-03-26,4325007.4,4003259.5872861953
2022-03-27,5169170.11,3920195.195757992
2022-03-28,4855258.01,4595729.050602975
2022-03-29,4908504.49,5511928.774218535
2022-03-30,11643208.73,8936010.272507684
2022-03-31,9233141.0,8517621.19227293
2022-04-01,8299060.74,7670664.217273506
2022-04-02,8289456.22,7761147.442440634
2022-04-03,6547965.12,6379346.502251908
2022-04-04,1974536.55,2870850.3746462576
2022-04-05,3017582.3,2928094.4227798977
2022-04-06,2934004.6,3436361.7584125716
2022-04-07,1947894.58,3032404.294260428
2022-04-08,2516364.3,3228793.689365135
2022-04-09,3523261.24,3474074.365463472
2022-04-10,3747690.93,3460629.044965686
2022-04-11,4187283.4,3711517.762768734
2022-04-12,4300020.35,4063296.73266001
2022-04-13,4888627.31,4498406.267105891
2022-04-14,4670014.27,4194475.641295803
2022-04-15,4908291.49,4048844.3904595063
2022-04-16,5147946.06,4188398.0949126016
2022-04-17,4470361.38,4295373.750978549
2022-04-18,3680888.01,4618650.459604121
2022-04-19,4426735.65,4849063.187251106
2022-04-20,4874458.71,5220432.056468386
2022-04-21,2926459.0,4614282.603519162
2022-04-22,4609506.19,4316075.178012484
2022-04-23,4709847.04,4504907.459202818
2022-04-24,5020542.99,4431053.036228639
2022-04-25,4873788.42,5124073.057915344
2022-04-26,5688161.6,5384341.9247292075
2022-04-27,5361513.76,6164378.623173556
2022-04-28,5590934.3,5881070.752459415
2022-04-29,7579535.07,7532493.11622513
2022-04-30,6592777.23,7942229.54050849
2022-05-01,5680859.44,6579846.393418303
2022-05-02,4291036.44,5426661.709552233
2022-05-03,5504853.65,4797608.34625954
2022-05-04,1792730.62,3429737.5077110925
2022-05-05,3556300.98,3466688.2708961964
2022-05-06,2532060.94,3234798.986581886
2022-05-07,3620303.23,3072800.6160115693
2022-05-08,2468343.71,3418279.452505821
2022-05-09,2985986.67,3636044.2544596223
2022-05-10,3668495.19,3730988.833819045
2022-05-11,4347378.73,4266342.492855635
2022-05-12,4753134.02,4871608.306525063
2022-05-13,3479131.38,4463128.961864026
2022-05-14,4406804.98,4004391.6680517965
2022-05-15,4455089.7,4142074.207213908
2022-05-16,4323621.35,4141688.358491932
2022-05-17,4158982.96,4305385.691724584
2022-05-18,6094171.87,4979989.661930895
2022-05-19,5824908.18,5251779.27119444
2022-05-20,2226534.2,4960887.052593568
2022-05-21,4033154.28,4235256.690790226
2022-05-22,5000275.74,4513826.847026034
2022-05-23,3647180.26,4164121.9255675618
2022-05-24,4442598.36,4293884.184557086
2022-05-25,6573956.43,5306783.693222071
2022-05-26,6284218.49,5713375.036311225
2022-05-27,3652675.9,5963653.1339330515
2022-05-28,3223975.84,5558994.746522048
2022-05-29,5327455.25,5589693.767060443
2022-05-30,8158502.0,8728293.396447498
2022-05-31,8513166.37,8246190.478468401
2022-06-01,8373363.4,8376559.728931636
2022-06-02,8325437.52,7338551.932345136
2022-06-03,6585522.44,6161617.105924776
2022-06-04,2998952.42,3165572.008532521
2022-06-05,2945501.79,3104735.1871044994
2022-06-06,3100859.0,3375448.3484850316
2022-06-07,3673238.8,3760609.167867126
2022-06-08,3686799.9,4080982.6734289806
2022-06-09,2619038.14,4029609.569967253
2022-06-10,3369544.01,3756157.5773639553
2022-06-11,4463584.56,3680632.5185231925
2022-06-12,4561669.81,3540094.425247847
2022-06-13,4221162.05,3914271.3386261915
2022-06-14,4843640.76,4562108.30391668
2022-06-15,4969823.53,4901283.78854681
2022-06-16,4143877.35,4913077.917571003
2022-06-17,4914374.7,4070539.12767123
2022-06-18,4817780.87,3906225.6107374537
2022-06-19,3795086.21,3760397.436263261
2022-06-20,3323030.57,3985864.696304045
2022-06-21,4271838.09,4506473.804272305
2022-06-22,5182306.11,5134058.576031455
2022-06-23,3276933.23,4821812.1939722905
2022-06-24,4334289.08,3991680.7270242716
2022-06-25,3650772.37,3899015.1494473442
2022-06-26,3313898.55,3853532.946715901
2022-06-27,3481464.68,4484634.768715344
2022-06-28,5799352.35,5459111.285923358
2022-06-29,7265484.49,6563423.113588662
2022-06-30,5503799.91,6296343.840191207
2022-07-01,5150082.22,5236551.657291569
2022-07-02,4591824.74,3740452.856754126
2022-07-03,3487232.0,2631173.477137119
2022-07-04,1208545.64,1473506.3779484404
2022-07-05,1079245.09,1873188.4406456419
2022-07-06,2003115.26,1947717.0821105295
2022-07-07,2178171.4,2039765.8708804408
2022-07-08,1881078.1,2677653.6613242826
2022-07-09,1988747.3,2512847.809635346
2022-07-10,2250020.87,3025973.5589102022
2022-07-11,3085208.06,3163911.327878243
2022-07-12,3275001.85,3029594.154178187
2022-07-13,3331997.68,3117970.5921999137
2022-07-14,3428606.64,3519290.485190938
2022-07-15,3272104.3,3228314.111790438
2022-07-16,3060600.17,2703524.4960049363
2022-07-17,3238870.01,3166606.5952714956
2022-07-18,3305333.1,3216897.286988352
2022-07-19,3101945.44,3141434.0483411937
2022-07-20,3436240.82,3347924.051432979
2022-07-21,3596036.01,3715338.580636837
2022-07-22,2771453.13,3682333.34733135
2022-07-23,4190232.53,3018739.233932595
2022-07-24,3833852.9,3014172.841129052
2022-07-25,2614143.21,3297796.7002829667
2022-07-26,3176075.37,3451325.6195585835
2022-07-27,4214912.76,3910465.4026033315
2022-07-28,4859620.98,4669912.1911388235
2022-07-29,3226100.81,4435661.799382239
2022-07-30,2682461.47,5584221.802570884
2022-07-31,4622917.86,4881070.148358837
2022-08-01,4081818.17,4947093.102061749
2022-08-02,4490226.96,4446702.97600863
2022-08-03,5085558.26,4624415.154055007
2022-08-04,4345026.44,2911834.7861207947
2022-08-05,2114789.45,2395644.522422878
2022-08-06,2325289.52,2370772.9366633142
2022-08-07,2331541.43,2660018.356411329
2022-08-08,3054473.91,2658982.1368558505
2022-08-09,2488386.71,2635349.63429456
2022-08-10,2963483.62,3230203.189085605
2022-08-11,3674343.1,3068377.267566166
2022-08-12,2787707.25,3393622.052554169
2022-08-13,1789226.45,3141666.9029335356
2022-08-14,2557373.24,3211774.0406262227
2022-08-15,3869248.63,3016192.272630777
2022-08-16,3139997.28,3108124.56395237
2022-08-17,3480892.06,3732547.2842374737
2022-08-18,4171974.77,3622038.093298253
2022-08-19,2011108.63,3428434.0061946735
2022-08-20,2479005.37,3141454.16680973
2022-08-21,2235990.02,3420419.116124404
2022-08-22,3743695.22,2965586.196583285
2022-08-23,2422220.1,2729013.1384914326
2022-08-24,3292983.26,3596932.8800875396
2022-08-25,3512475.16,3426946.248134364
2022-08-26,3544046.7,3511233.139123228
2022-08-27,2367664.33,3891198.1596175344
2022-08-28,7051722.27,4659971.0259682145
2022-08-29,7928796.83,6064273.623322867
2022-08-30,6574345.89,5993556.012898239
2022-08-31,7627532.44,5704270.883732771
2022-09-01,6284732.49,4044473.0919310316
2022-09-02,1902817.9,2694732.5702518923
2022-09-03,1443083.36,1911187.11308345
2022-09-04,1814811.35,1857514.1524763722
2022-09-05,2214621.47,2207910.803859984
2022-09-06,1440405.44,2442295.512992831
2022-09-07,1890879.55,2512138.788861607
2022-09-08,3137260.99,2564843.1254255706
2022-09-09,1905843.43,2354766.0498167844
2022-09-10,3003150.84,2247458.097852663
2022-09-11,3574194.77,2457801.504377237
2022-09-12,3415849.51,2661963.3242938775
2022-09-13,2521208.91,2913142.868314717
2022-09-14,2125189.04,2922588.283024807
2022-09-15,3154006.65,2729296.0630137254
2022-09-16,2557894.76,2244432.391081646
2022-09-17,1810510.0,2437239.3505550567
2022-09-18,2355578.71,2486607.743918283
2022-09-19,2832515.44,2548642.539615945
2022-09-20,1813002.77,2920939.4297289606
2022-09-21,2262085.02,2917607.6902873386
2022-09-22,3106149.95,2650622.5231450098
2022-09-23,2634119.24,2510801.6333386395
2022-09-24,2896411.14,2403574.2110660155
2022-09-25,3041369.47,2842966.590161699
2022-09-26,5205389.57,2909661.160494916
2022-09-27,4259834.95,3389471.1578847724
2022-09-28,4257301.76,3987227.523065166
2022-09-29,4352754.23,3880035.181071221
2022-09-30,2551313.88,3685538.7018303713
2022-10-01,1469771.93,3148537.270601724
2022-10-02,1289798.82,2325623.4139769543
2022-10-03,2179072.88,1543169.5715864827
2022-10-04,2751920.12,1682171.5350271286
2022-10-05,1527341.84,2060830.9063195265
2022-10-06,2026518.43,1913120.426428056
2022-10-07,1406363.3,1977226.8172755819
2022-10-08,2137543.63,2070670.1581720486
2022-10-09,1805775.79,2190002.860686709
2022-10-10,2356440.12,2147270.95060251
2022-10-11,2270162.6,2244471.531446913
2022-10-12,1976207.14,2326342.774296679
2022-10-13,2430819.33,2196579.3356557363
2022-10-14,1927818.67,2302926.309970598
2022-10-15,1986495.19,2325939.447532374
2022-10-16,1897952.11,2338535.5869713584
2022-10-17,2507328.8,2443920.9715644917
2022-10-18,3170696.65,2319705.808659058
2022-10-19,2324314.45,2392469.818454653
2022-10-20,2591151.06,2264279.9060759437
2022-10-21,2662328.56,2279762.603190176
2022-10-22,2407124.47,2375600.165626395
2022-10-23,1971627.46,2192381.1836797674
2022-10-24,2678456.17,2384253.8840210815
2022-10-25,3003375.87,2391046.739160232
2022-10-26,2345490.55,2562756.2076760563
2022-10-27,2493935.72,2625679.2814708264
2022-10-28,4210212.53,3336353.08187084
2022-10-29,3626939.26,3727377.934008319
2022-10-30,3130677.4,3687366.4989728983
2022-10-31,4630791.46,3502017.348898028
2022-11-01,3025164.28,3272245.1254818966
2022-11-02,1338326.56,2435693.0054300637
2022-11-03,1253721.23,1392900.4520546575
2022-11-04,1065066.0,1494059.327745624
2022-11-05,1826120.07,1621206.296801648
2022-11-06,2207719.98,1721787.8607482384
2022-11-07,1655852.99,1845923.2419893462
2022-11-08,1781413.12,2111276.9761300134
2022-11-09,845358.47,2086739.2206435169
2022-11-10,2079598.87,1858154.9976590506
2022-11-11,1581745.15,1840334.2367852381
2022-11-12,1354235.95,1907460.9486382885
2022-11-13,2903552.41,1955978.9326439626
2022-11-14,1656739.7,1890511.4517797022
2022-11-15,1547150.37,2088496.7492732373
2022-11-16,1436853.58,2043601.764069676
2022-11-17,1542318.91,1935177.5299662945
2022-11-18,2067584.69,1846670.7853360644
2022-11-19,1496563.56,1641801.5674019572
2022-11-20,1857748.24,1605125.9776716118
2022-11-21,1349907.06,1791310.9506557174
2022-11-22,853188.02,2032674.9265163564
2022-11-23,1060969.69,1766552.678854662
