feature,shap_mean_abs,gain,split
total_gross_prof,0.13858270890558053,3006.3685013309005,604
day,0.11367827708467784,1546.9620917191496,3805
cogs_lag365,0.08506660467853322,2849.800845122838,2658
rev_lag730,0.047064470868429964,574.2500722587574,2478
rev_lag1460,0.038776202123191446,1068.1822076279786,1956
n_orders_prof,0.03193631459158144,508.6891776557313,532
doy_cos,0.020517616843503776,134.58848555909935,1586
doy_sin,0.02027137216272506,176.62186014414328,1843
rev_lag365,0.01694003777252913,482.9163904474117,2408
rev_roll365_lag365,0.014994518807866989,141.46388998628595,1851
cogs_lag730,0.011461447921190606,89.37845500365074,2145
cogs_lag1095,0.011066603903871201,94.50447590402109,2233
days_since_2012,0.010863560498003636,98.11481939682426,824
cogs_roll365_lag365,0.008810128508288153,89.80607137983316,1279
rev_roll365_lag1095,0.008590900017298139,73.10673424375273,1557
cogs_lag1460,0.007996776136929682,147.7895530977985,1906
rev_lag1095,0.007895177446366712,89.40072342807252,2053
seg_share_Performance_prof,0.00787368153436571,136.25158475866192,490
max_promo_fixed,0.006698268128617313,20.526416420936584,95
dow_cos,0.006472042457074957,27.273687743232585,314
rev_roll365_lag730,0.006287768435052915,61.912314188157325,1371
n_active_promos,0.0058845911870701725,15.446265254635364,98
doy,0.005523302809141036,81.13499924587086,992
dow,0.005447108272206954,34.20529253676068,411
n_unique_cust_prof,0.005185894315584097,59.191012469120324,119
n_reviews_prof,0.005136097009906657,42.10952460004046,319
cogs_roll365_lag1095,0.005072455582399271,57.5097824946788,1285
days_to_tet,0.004764326702197159,28.95349537045695,588
cogs_roll365_lag730,0.004744275555119662,42.79991007698118,1020
year,0.004265751397516009,49.52932375576347,74
total_qty_prof,0.0038822123318197027,29.736046324833296,227
seg_share_Standard_prof,0.0038626217600643575,46.05672249246709,693
cat_share_Streetwear_prof,0.0037840406782038137,37.005077139649075,316
n_lines_prof,0.003562568766384057,20.152627038769424,84
bounce_rate_prof,0.003497032420142304,22.072088136948878,748
dow_sin,0.0030760375622609234,15.363252319715684,330
avg_session_sec_prof,0.0030507258014005386,21.29330381087493,755
cat_share_GenZ_prof,0.002963870358348131,30.50919829175109,470
avg_rating_prof,0.0028905302635334174,25.901810167822987,832
page_views_prof,0.0028182620211741802,35.42621684685582,232
cat_share_Casual_prof,0.002720785006376633,17.421498191775754,638
avg_ship_fee_prof,0.0026585626220212576,41.96195318295213,456
seg_share_All-weather_prof,0.002639315163886413,17.33940697464277,624
seg_share_Balanced_prof,0.0026368076965047134,20.936091003619367,576
sessions_prof,0.0025784888102037594,46.46887055352272,260
woy,0.0025712554236049347,27.655956526868977,277
seg_share_Everyday_prof,0.002280185658777531,40.547426321893,441
avg_installments_prof,0.002277471535478318,21.13892168615712,763
total_disc_prof,0.0021879926401005435,23.267598461708985,354
n_signups_prof,0.002184646138337219,21.40582681732485,678
avg_lead_time_prof,0.002093556490637071,23.521695890900446,757
n_with_promo_prof,0.0020111757460377286,19.079162520938553,296
max_promo_pct,0.001768925092312397,11.998320034239441,165
n_returns_prof,0.0016959075223689445,30.229983092227485,311
avg_unit_price_prof,0.0016502492508613856,26.49479491391685,467
unique_visitors_prof,0.0016490477969187654,20.48569829997723,175
month_cos,0.0015911570393875047,16.088826179504395,11
seg_share_Premium_prof,0.0015803037723777444,11.332068774849176,259
is_month_start,0.0015513655347086021,5.632613551802933,22
refund_amt_prof,0.0014977741522362437,14.86453008686658,265
cat_share_Outdoor_prof,0.0014848155277538313,19.327237591554876,236
avg_payment_prof,0.0013296882626508153,12.863016838033218,322
seg_share_Activewear_prof,0.001280137825507259,12.221389428246766,176
is_month_end,0.0011965755774552157,1.2801041610073298,51
month_sin,0.0011634066462544107,7.381054174853489,40
n_stackable,0.0011476439151403128,2.9547209625598043,30
disc_rate_prof,0.0011139606148766771,10.65007110289298,257
promo_share_prof,0.0010439978285546902,9.904712435672991,236
seg_share_Trendy_prof,0.0007520412852096321,4.02057604060974,84
month,0.0006618376773114583,5.875604663975537,20
is_quarter_end,0.00044669654749746165,0.6656929119490087,20
mean_promo_pct,0.0001692561375447213,0.7390444464981556,13
quarter,1.3427535266588095e-05,0.03820690140128136,1
is_pre_tet,3.6327740539473098e-06,0.009690199978649616,1
is_tet_window,0.0,0.0,0
is_sale_1212,0.0,0.0,0
is_christmas,0.0,0.0,0
is_weekend,0.0,0.0,0
is_sale_1111,0.0,0.0,0
is_newyear_eve,0.0,0.0,0
is_sale_1010,0.0,0.0,0
is_black_friday,0.0,0.0,0
is_post_tet,0.0,0.0,0
is_newyear,0.0,0.0,0
is_viet_women,0.0,0.0,0
is_mid_autumn_proxy,0.0,0.0,0
is_valentine,0.0,0.0,0
is_natl,0.0,0.0,0
is_labor,0.0,0.0,0
is_reunif,0.0,0.0,0
is_intl_women,0.0,0.0,0
is_sale_99,0.0,0.0,0
